system,growth per world
1,1.1325551484402516
2,1.0356817193650094
3,1.0208655009942431
4,1.0153766572848513
5,1.1076043484382219
6,1.0367731897924672
7,1.0237896727843792
8,1.1392417836417488
9,1.0391860030896503
10,1.0273364626518888
11,1.0216546596699883
12,1.017969451554354
13,1.015650294192273
14,1.0136781561171597
15,1.1767157163227742
16,1.0425244732865846
17,1.0257184694859807
18,1.0200719408690815
19,1.016999943489146
20,1.0148572144461017
21,1.13577280773462
22,1.049919328731996
23,1.0275052269778464
24,1.0199561323065582
25,1.016360461677956
26,1.1608220638653781
27,1.0435726568018275
28,1.027377231856862
29,1.0213667458104283
30,1.0179698618338215
31,1.0157272794806393
32,1.1726826912933892
33,1.0396351027907151
34,1.024735390216235
35,1.0195269306800894
36,1.1851764790179888
37,1.0413697099678247
38,1.0270564220234188
39,1.0215993305024598
40,1.0182151846299838
41,1.0159012895887016
42,1.0141581699609126
43,1.0128395430459338
44,1.192022722708349
45,1.030344893476069
46,1.0210987789627854
47,1.0166951926977983
48,1.0142615978511644
49,1.1653575740973157
50,1.0511292694824717
51,1.0270653898751831
52,1.0202304907475104
53,1.0164362547045134
54,1.1876086412193363
55,1.0484659505707128
56,1.0273540252410784
57,1.0201655976342954
58,1.016655506711269
59,1.0143929094053241
60,1.0127760242771084
61,1.1654491337991886
62,1.0465221074974462
63,1.0253794048020695
64,1.0185408446925721
65,1.0153782248149326
66,1.1388040256406855
67,1.0422156457397858
68,1.025186079544557
69,1.0188953376664214
70,1.01569465494973
71,1.1451253491063433
72,1.070588435318789
73,1.030408289334602
74,1.02186444249073
75,1.0178853629157567
76,1.152915245373532
77,1.05366080613342
78,1.0289704821195063
79,1.0222262394000963
80,1.0186190140645135
81,1.016078624954946
82,1.0142115316881302
83,1.1640801773707217
84,1.0454164701492505
85,1.0269022793651326
86,1.021260692573957
87,1.0180178202016408
88,1.0157968934951611
89,1.1895683798510148
90,1.0342614894343083
91,1.0242750501650073
92,1.019564737138628
93,1.016776771296229
94,1.1689880490540887
95,1.0387200700861132
96,1.0262141786933652
97,1.0208949737199422
98,1.0177861111802433
99,1.0156004404852506
100,1.1541170950336446
101,1.05043973684173
102,1.0272459975135153
103,1.0200976360937881
104,1.0166896606499323
105,1.0145214046224955
106,1.1531749735553303
107,1.061430944591896
108,1.0267639126704127
109,1.0197609177901596
110,1.016236988581492
111,1.013929633885418
112,1.152174918594505
113,1.0469903301243535
114,1.0272841407733757
115,1.0208050167976395
116,1.0173201965832663
117,1.2068158781484004
118,1.0389708412966352
119,1.0264297130341893
120,1.0210805050069014
121,1.0178920672601446
122,1.0157159153102044
123,1.1609309034235313
124,1.0408946298102382
125,1.0257845982481253
126,1.0200794680700167
127,1.0168603989287799
128,1.014768236805855
129,1.013217579813863
130,1.1787467704130283
131,1.0311795766877137
132,1.0219451267174569
133,1.0176080950586444
134,1.1792263520334636
135,1.0376446361612182
136,1.0259252413026592
137,1.0207524192140505
138,1.0176461094948899
139,1.0154276925619863
140,1.1349090812611173
141,1.0455674108334791
142,1.0270440464035973
143,1.0207961550045808
144,1.0173499152926273
145,1.2035965475760173
146,1.0366463024297061
147,1.024828725200127
148,1.0195794511031526
149,1.0166026176735796
150,1.0145431433773577
151,1.0130393893478922
152,1.1714872665874496
153,1.0448516708530353
154,1.0258304155272688
155,1.0200634986090888
156,1.0168526670935432
157,1.159354614044662
158,1.038286509907169
159,1.0264168827457558
160,1.021072021443946
161,1.017962138852212
162,1.0157338762281494
163,1.1069457135195098
164,1.0337201325457799
165,1.0244317185055718
166,1.0199582600811101
167,1.0171494099544924
168,1.1893326686162466
169,1.0528170373254593
170,1.027819506450851
171,1.0213872284693062
172,1.0179242551549341
173,1.0155195020803032
174,1.1382075687774376
175,1.0439680453186648
176,1.0275233351809938
177,1.0214610773319237
178,1.0182123255861888
179,1.1979017350897168
180,1.0398047089649955
181,1.026824148274499
182,1.0217603822177335
183,1.0186151836154713
184,1.0163538245890353
185,1.0146859954262857
186,1.0134235063804826
187,1.1055776941403888
188,1.0324031287420556
189,1.0233339801575123
190,1.0189760238659065
191,1.0164417019754246
192,1.01463355377994
193,1.1373577599835845
194,1.0616945542899883
195,1.028581053248087
196,1.0206208863920965
197,1.0170688870981959
198,1.0147945409516472
199,1.1678238752989227
200,1.036715966413389
201,1.0248480378828193
202,1.0196600462450536
203,1.0166592436685937
204,1.0146239632089966
205,1.2176760132188553
206,1.043020419843126
207,1.0257575765164408
208,1.0201844245014928
209,1.0169663299533036
210,1.0148700884538284
211,1.150717926986423
212,1.069042101306765
213,1.0304338240661313
214,1.0224339165142182
215,1.0183543916534183
216,1.0159001171644513
217,1.0141020074902263
218,1.1733783595813285
219,1.036212060114158
220,1.02303517944404
221,1.0181901283373005
222,1.0153359977764367
223,1.130037788427672
224,1.1057107167600266
225,1.0320513415427321
226,1.022401466181796
227,1.0181779916058407
228,1.0155862449939814
229,1.0138099252043198
230,1.1653404256270372
231,1.0698316206567011
232,1.0283609420424735
233,1.0211916987772571
234,1.0173796363607683
235,1.0149875751270256
236,1.1706838447791996
237,1.0377750640961896
238,1.024737319130401
239,1.019764492807624
240,1.0168695974481556
241,1.0147614538030434
242,1.1733943491222236
243,1.0521346202039483
244,1.0273960122420942
245,1.020889566487814
246,1.0173512992157994
247,1.0151920090742337
248,1.156013940414788
249,1.0565563167141998
250,1.0278985758718937
